epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,326.887,1.13532,3.14418,1.44179,0.64064,0.71583,0.72598,0.51269,0.9952,1.13112,1.46799,0.00332979,0.00332979,0.00332979
2,640.018,1.00116,1.6549,1.28551,0.90019,0.85759,0.94536,0.72728,0.82824,0.71298,1.28973,0.00663014,0.00663014,0.00663014
3,948.538,1.01482,1.27078,1.26904,0.92678,0.89536,0.95575,0.73282,0.83364,0.62058,1.28889,0.00989749,0.00989749,0.00989749
4,1252.96,1.01435,0.99308,1.25959,0.87957,0.79101,0.90928,0.69396,0.86927,0.91645,1.31509,0.0098515,0.0098515,0.0098515
5,1557.38,0.95331,0.78431,1.22155,0.93126,0.87999,0.9503,0.7191,0.88791,0.57292,1.31369,0.009802,0.009802,0.009802
6,1865.22,0.9016,0.67935,1.18906,0.98352,0.96405,0.98345,0.78881,0.74673,0.39408,1.19173,0.0097525,0.0097525,0.0097525
7,2178.8,0.86949,0.61764,1.17059,0.99339,0.98008,0.98615,0.82101,0.67555,0.34299,1.13642,0.009703,0.009703,0.009703
8,2492.59,0.84778,0.5813,1.15939,0.99198,0.98228,0.98775,0.82227,0.66765,0.33867,1.14284,0.0096535,0.0096535,0.0096535
9,2806.36,0.82756,0.55709,1.15058,0.99457,0.98186,0.98689,0.82962,0.64754,0.31749,1.11678,0.009604,0.009604,0.009604
10,3120.22,0.80797,0.53577,1.14003,0.99525,0.98542,0.98713,0.84497,0.61616,0.29756,1.09107,0.0095545,0.0095545,0.0095545
11,3432.93,0.79225,0.51343,1.13016,0.99524,0.98682,0.9873,0.84517,0.61344,0.29269,1.08582,0.009505,0.009505,0.009505
12,3746.69,0.77986,0.4955,1.12321,0.99629,0.98508,0.98779,0.85795,0.59423,0.28774,1.07273,0.0094555,0.0094555,0.0094555
13,4059.42,0.76456,0.48791,1.11519,0.99833,0.98815,0.9881,0.8669,0.56795,0.26993,1.04798,0.009406,0.009406,0.009406
14,4372.36,0.75513,0.47284,1.10849,0.99666,0.98907,0.98765,0.86742,0.56109,0.26746,1.04134,0.0093565,0.0093565,0.0093565
15,4685.11,0.74439,0.45977,1.10316,0.99802,0.98811,0.98884,0.86884,0.55588,0.26017,1.04177,0.009307,0.009307,0.009307
16,4998.3,0.739,0.45294,1.1012,0.99931,0.98802,0.98786,0.87712,0.53454,0.25736,1.02106,0.0092575,0.0092575,0.0092575
17,5311.64,0.7278,0.44588,1.09193,0.99889,0.98876,0.98841,0.87953,0.53917,0.24731,1.02823,0.009208,0.009208,0.009208
18,5625.55,0.72107,0.44209,1.09174,0.99879,0.98847,0.98833,0.88151,0.52488,0.24678,1.01532,0.0091585,0.0091585,0.0091585
19,5938.12,0.71026,0.43283,1.08303,0.99901,0.98938,0.98794,0.88242,0.5265,0.24481,1.01728,0.009109,0.009109,0.009109
20,6250.65,0.70372,0.42276,1.08153,0.99898,0.98989,0.98832,0.89111,0.50749,0.23505,1.00087,0.0090595,0.0090595,0.0090595
21,6563.84,0.69848,0.41682,1.07782,0.9993,0.98948,0.98866,0.89338,0.50188,0.23108,0.99719,0.00901,0.00901,0.00901
22,6877.05,0.69495,0.41688,1.07804,0.99876,0.98881,0.98894,0.89922,0.48991,0.23235,0.98664,0.0089605,0.0089605,0.0089605
23,7189.7,0.68817,0.40999,1.07357,0.99938,0.98968,0.98837,0.8991,0.48491,0.22402,0.98214,0.008911,0.008911,0.008911
24,7502.54,0.68147,0.40667,1.07089,0.99887,0.99026,0.98821,0.90087,0.47788,0.22486,0.97603,0.0088615,0.0088615,0.0088615
25,7816.56,0.68134,0.40585,1.0723,0.99917,0.98959,0.98878,0.90324,0.47272,0.2189,0.97648,0.008812,0.008812,0.008812
26,8129.04,0.67237,0.3994,1.06615,0.99929,0.99074,0.98841,0.90844,0.46099,0.21558,0.96576,0.0087625,0.0087625,0.0087625
27,8442.09,0.66943,0.3959,1.06632,0.99927,0.9905,0.9885,0.90731,0.46296,0.21328,0.96717,0.008713,0.008713,0.008713
28,8755.01,0.66051,0.38931,1.05876,0.99903,0.99091,0.98865,0.91472,0.44822,0.20973,0.95655,0.0086635,0.0086635,0.0086635
29,9067.65,0.66159,0.39028,1.05954,0.99847,0.99141,0.98841,0.90878,0.45567,0.21097,0.96246,0.008614,0.008614,0.008614
30,9380.41,0.65977,0.38747,1.06155,0.99882,0.99162,0.98906,0.91245,0.45353,0.20938,0.96214,0.0085645,0.0085645,0.0085645
31,9692.9,0.65693,0.38132,1.05621,0.99938,0.99104,0.98879,0.91857,0.44229,0.20335,0.9519,0.008515,0.008515,0.008515
32,10005.3,0.65085,0.38071,1.05377,0.99931,0.99081,0.98874,0.91935,0.43534,0.20463,0.94807,0.0084655,0.0084655,0.0084655
33,10318.3,0.64668,0.37921,1.05369,0.99951,0.99037,0.98868,0.91776,0.43851,0.1994,0.95265,0.008416,0.008416,0.008416
34,10631.5,0.64032,0.37439,1.04756,0.99921,0.99051,0.98898,0.92159,0.43053,0.20016,0.9454,0.0083665,0.0083665,0.0083665
35,10944.6,0.63942,0.37342,1.04935,0.99852,0.99189,0.98919,0.92276,0.42901,0.19674,0.94344,0.008317,0.008317,0.008317
36,11257.8,0.6339,0.36723,1.04665,0.99964,0.99066,0.9888,0.92534,0.42154,0.19429,0.93868,0.0082675,0.0082675,0.0082675
37,11570.7,0.63142,0.36868,1.04619,0.99939,0.99051,0.98902,0.92446,0.42214,0.1935,0.9388,0.008218,0.008218,0.008218
38,11883.3,0.62632,0.36163,1.04013,0.99946,0.99023,0.98906,0.92513,0.41398,0.19241,0.93189,0.0081685,0.0081685,0.0081685
39,12196.4,0.62813,0.3674,1.04531,0.99858,0.99179,0.98904,0.92636,0.41554,0.19087,0.9334,0.008119,0.008119,0.008119
40,12509.4,0.624,0.36003,1.03987,0.99846,0.99194,0.98924,0.92911,0.4097,0.18954,0.92948,0.0080695,0.0080695,0.0080695
41,12822.2,0.6211,0.3593,1.04105,0.99861,0.99198,0.98939,0.92985,0.40718,0.18768,0.92933,0.00802,0.00802,0.00802
42,13135.4,0.61936,0.3592,1.0405,0.99898,0.99185,0.98965,0.93118,0.40517,0.18608,0.9272,0.0079705,0.0079705,0.0079705
43,13448.5,0.6173,0.35841,1.0376,0.99887,0.99177,0.98987,0.93171,0.40551,0.18682,0.92811,0.007921,0.007921,0.007921
44,13760.5,0.61228,0.35703,1.03595,0.99877,0.9919,0.98995,0.93283,0.40164,0.18464,0.92545,0.0078715,0.0078715,0.0078715
