epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1061,0.89354,3.96815,1.24995,0.74093,0.12774,0.20695,0.17587,0.63641,2.66953,1.05675,0.000131455,0.000131455,0.000131455
2,58.7813,0.79721,2.73224,1.1619,0.627,0.46487,0.50124,0.42631,0.62918,1.51824,1.06004,0.000259546,0.000259546,0.000259546
3,85.8638,0.76283,1.95889,1.12369,0.68579,0.66435,0.72087,0.61813,0.62401,0.99474,1.08329,0.000382356,0.000382356,0.000382356
4,113.106,0.73978,1.64051,1.10334,0.75158,0.80468,0.8362,0.71034,0.63293,0.97421,1.07398,0.00037624,0.00037624,0.00037624
5,138.957,0.70566,1.4024,1.06252,0.87529,0.89518,0.94449,0.82657,0.57171,0.63843,1.0106,0.00036832,0.00036832,0.00036832
6,162.838,0.67812,1.221,1.04332,0.94449,0.95737,0.97369,0.83362,0.63865,0.60486,1.0534,0.0003604,0.0003604,0.0003604
7,186.573,0.68962,1.13274,1.05063,0.94585,0.96563,0.98414,0.86885,0.53055,0.5103,0.97975,0.00035248,0.00035248,0.00035248
