epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,329.934,1.13532,3.14418,1.44179,0.64064,0.71583,0.72598,0.51269,0.9952,1.13112,1.46799,0.00332979,0.00332979,0.00332979
2,649.338,1.00116,1.6549,1.28551,0.90019,0.85759,0.94536,0.72728,0.82824,0.71298,1.28973,0.00663014,0.00663014,0.00663014
3,961.4,1.01482,1.27078,1.26904,0.92678,0.89536,0.95575,0.73282,0.83364,0.62058,1.28889,0.00989749,0.00989749,0.00989749
4,1270.28,1.01435,0.99308,1.25959,0.87957,0.79101,0.90928,0.69396,0.86927,0.91645,1.31509,0.0098515,0.0098515,0.0098515
5,1577.82,0.95331,0.78431,1.22155,0.93126,0.87999,0.9503,0.7191,0.88791,0.57292,1.31369,0.009802,0.009802,0.009802
6,1881.88,0.9016,0.67935,1.18906,0.98352,0.96405,0.98345,0.78881,0.74673,0.39408,1.19173,0.0097525,0.0097525,0.0097525
7,2185.49,0.86949,0.61764,1.17059,0.99339,0.98008,0.98615,0.82101,0.67555,0.34299,1.13642,0.009703,0.009703,0.009703
8,2489.17,0.84778,0.5813,1.15939,0.99198,0.98228,0.98775,0.82227,0.66765,0.33867,1.14284,0.0096535,0.0096535,0.0096535
9,2792.73,0.82756,0.55709,1.15058,0.99457,0.98186,0.98689,0.82962,0.64754,0.31749,1.11678,0.009604,0.009604,0.009604
10,3096.03,0.80797,0.53577,1.14003,0.99525,0.98542,0.98713,0.84497,0.61616,0.29756,1.09107,0.0095545,0.0095545,0.0095545
11,3399.33,0.79225,0.51343,1.13016,0.99524,0.98682,0.9873,0.84517,0.61344,0.29269,1.08582,0.009505,0.009505,0.009505
12,3703.03,0.77986,0.4955,1.12321,0.99629,0.98508,0.98779,0.85795,0.59423,0.28774,1.07273,0.0094555,0.0094555,0.0094555
13,4006.9,0.76456,0.48791,1.11519,0.99833,0.98815,0.9881,0.8669,0.56795,0.26993,1.04798,0.009406,0.009406,0.009406
14,4310.26,0.75513,0.47284,1.10849,0.99666,0.98907,0.98765,0.86742,0.56109,0.26746,1.04134,0.0093565,0.0093565,0.0093565
15,4613.45,0.74439,0.45977,1.10316,0.99802,0.98811,0.98884,0.86884,0.55588,0.26017,1.04177,0.009307,0.009307,0.009307
16,4916.89,0.739,0.45294,1.1012,0.99931,0.98802,0.98786,0.87712,0.53454,0.25736,1.02106,0.0092575,0.0092575,0.0092575
17,5220.34,0.7278,0.44588,1.09193,0.99889,0.98876,0.98841,0.87953,0.53917,0.24731,1.02823,0.009208,0.009208,0.009208
18,5524.73,0.72107,0.44209,1.09174,0.99879,0.98847,0.98833,0.88151,0.52488,0.24678,1.01532,0.0091585,0.0091585,0.0091585
